paradigm,subject,fold,permute_k,split,calib_size,seed,n_val,baseline_auc,status,accepted,adapted_auc,deployed_auc,delta_auc,internal_val_auc,best_epoch
p300,1,version_39,0,stratified,480,43,120,0.6855029585798817,ok,1,0.6549787352071006,0.6549787352071006,-0.030524223372781156,0.5980000000000001,25
p300,1,version_39,0,stratified,480,44,120,0.676567122781065,ok,0,0.6725869082840237,0.676567122781065,0.0,0.567,0
p300,1,version_39,0,stratified,480,45,120,0.669743897928994,ok,1,0.6547984467455621,0.6547984467455621,-0.014945451183431935,0.6515,34
p300,1,version_39,0,stratified,480,46,120,0.6755917159763314,ok,1,0.661926775147929,0.661926775147929,-0.013664940828402417,0.593,2
p300,1,version_39,0,temporal_array,24,42,6,0.6653466574092441,ungateable,,,0.6653466574092441,0.0,,
p300,1,version_39,0,temporal_array,24,43,6,0.6653466574092441,ungateable,,,0.6653466574092441,0.0,,
p300,1,version_39,0,temporal_array,24,44,6,0.6653466574092441,ungateable,,,0.6653466574092441,0.0,,
p300,1,version_39,0,temporal_array,24,45,6,0.6653466574092441,ungateable,,,0.6653466574092441,0.0,,
p300,1,version_39,0,temporal_array,24,46,6,0.6653466574092441,ungateable,,,0.6653466574092441,0.0,,
p300,1,version_39,0,temporal_array,48,42,12,0.6590663265306123,ok,0,0.6584808673469388,0.6590663265306123,0.0,0.75,0
p300,1,version_39,0,temporal_array,48,43,12,0.6590663265306123,ok,0,0.6588418367346939,0.6590663265306123,0.0,1.0,0
p300,1,version_39,0,temporal_array,48,44,12,0.6590663265306123,ok,0,0.6583877551020408,0.6590663265306123,0.0,1.0,0
p300,1,version_39,0,temporal_array,48,45,12,0.6590663265306123,ok,0,0.658469387755102,0.6590663265306123,0.0,1.0,0
p300,1,version_39,0,temporal_array,48,46,12,0.6590663265306123,ok,0,0.6590051020408163,0.6590663265306123,0.0,1.0,0
p300,1,version_39,0,temporal_array,96,42,24,0.656531141868512,ok,0,0.6542982266435986,0.656531141868512,0.0,0.5125,2
p300,1,version_39,0,temporal_array,96,43,24,0.656531141868512,ok,0,0.6559850778546713,0.656531141868512,0.0,0.7375,0
p300,1,version_39,0,temporal_array,96,44,24,0.656531141868512,ok,0,0.6557201557093426,0.656531141868512,0.0,0.9375,0
p300,1,version_39,0,temporal_array,96,45,24,0.656531141868512,ok,0,0.6559418252595155,0.656531141868512,0.0,0.8875,0
p300,1,version_39,0,temporal_array,96,46,24,0.656531141868512,ok,1,0.6360483347750865,0.6360483347750865,-0.020482807093425537,0.6875,24
p300,1,version_39,0,temporal_array,240,42,60,0.652357570239334,ok,0,0.6476554370447449,0.652357570239334,0.0,0.7140000000000001,2
p300,1,version_39,0,temporal_array,240,43,60,0.652357570239334,ok,0,0.6494504422476587,0.652357570239334,0.0,0.624,1
p300,1,version_39,0,temporal_array,240,44,60,0.652357570239334,ok,0,0.6508487252861601,0.652357570239334,0.0,0.9420000000000001,0
p300,1,version_39,0,temporal_array,240,45,60,0.652357570239334,ok,0,0.650822710718002,0.652357570239334,0.0,0.5740000000000001,0
p300,1,version_39,0,temporal_array,240,46,60,0.652357570239334,ok,0,0.6507479188345473,0.652357570239334,0.0,0.698,0
p300,1,version_39,0,temporal_array,480,42,120,0.6496764053254438,ok,1,0.6496902736686391,0.6496902736686391,1.3868343195277966e-05,0.779,23
p300,1,version_39,0,temporal_array,480,43,120,0.6496764053254438,ok,0,0.640056397928994,0.6496764053254438,0.0,0.6555,7
p300,1,version_39,0,temporal_array,480,44,120,0.6496764053254438,ok,1,0.6467732988165681,0.6467732988165681,-0.002903106508875708,0.7065,0
p300,1,version_39,0,temporal_array,480,45,120,0.6496764053254438,ok,1,0.6484791050295858,0.6484791050295858,-0.0011973002958579615,0.78,21
p300,1,version_39,0,temporal_array,480,46,120,0.6496764053254438,ok,1,0.6470876479289941,0.6470876479289941,-0.0025887573964497035,0.7000000000000001,0
p300,2,version_34,0,stratified,24,42,6,0.7401433247371553,ungateable,,,0.7401433247371553,0.0,,
p300,2,version_34,0,stratified,24,43,6,0.7421518547907161,ungateable,,,0.7421518547907161,0.0,,
p300,2,version_34,0,stratified,24,44,6,0.7429899821463994,ungateable,,,0.7429899821463994,0.0,,
p300,2,version_34,0,stratified,24,45,6,0.7402474707399326,ungateable,,,0.7402474707399326,0.0,,
p300,2,version_34,0,stratified,24,46,6,0.7395010910533625,ungateable,,,0.7395010910533625,0.0,,
p300,2,version_34,0,stratified,48,42,12,0.7384030612244897,ok,0,0.7391938775510204,0.7384030612244897,0.0,0.9,0
p300,2,version_34,0,stratified,48,43,12,0.7423928571428571,ok,0,0.7427168367346937,0.7423928571428571,0.0,0.4,0
p300,2,version_34,0,stratified,48,44,12,0.7440586734693877,ok,0,0.7449948979591836,0.7440586734693877,0.0,0.0,0
p300,2,version_34,0,stratified,48,45,12,0.7399362244897959,ok,1,0.7420408163265306,0.7420408163265306,0.002104591836734726,0.8,2
p300,2,version_34,0,stratified,48,46,12,0.7365076530612245,ok,1,0.740140306122449,0.740140306122449,0.003632653061224511,0.9,6
p300,2,version_34,0,stratified,96,42,24,0.7430795847750866,ok,1,0.752203179065744,0.752203179065744,0.009123594290657344,0.7375,11
p300,2,version_34,0,stratified,96,43,24,0.7409466911764706,ok,1,0.7469777249134949,0.7469777249134949,0.006031033737024294,0.725,5
p300,2,version_34,0,stratified,96,44,24,0.7473669982698962,ok,1,0.7530574178200693,0.7530574178200693,0.005690419550173131,0.5,5
p300,2,version_34,0,stratified,96,45,24,0.7386651167820071,ok,1,0.7431958261245675,0.7431958261245675,0.004530709342560391,0.9500000000000001,8
p300,2,version_34,0,stratified,96,46,24,0.739457179930796,ok,0,0.7406277032871972,0.739457179930796,0.0,0.8375,0
p300,2,version_34,0,stratified,240,42,60,0.734813995837669,ok,1,0.7388462539021852,0.7388462539021852,0.0040322580645161255,0.8160000000000001,14
p300,2,version_34,0,stratified,240,43,60,0.7387194328824142,ok,0,0.7434183142559835,0.7387194328824142,0.0,0.672,1
p300,2,version_34,0,stratified,240,44,60,0.7533103537981269,ok,1,0.7549460197710717,0.7549460197710717,0.0016356659729447331,0.806,7
p300,2,version_34,0,stratified,240,45,60,0.7339164932362122,ok,1,0.7375032518210197,0.7375032518210197,0.0035867585848075034,0.8140000000000001,13
p300,2,version_34,0,stratified,240,46,60,0.7385893600416235,ok,1,0.7462490244536939,0.7462490244536939,0.007659664412070444,0.816,6
p300,2,version_34,0,stratified,480,42,120,0.7342363165680472,ok,1,0.7460798816568047,0.7460798816568047,0.011843565088757502,0.804,5
p300,2,version_34,0,stratified,480,43,120,0.7465791420118343,ok,1,0.7568093565088757,0.7568093565088757,0.010230214497041423,0.734,17
p300,2,version_34,0,stratified,480,44,120,0.7563609467455622,ok,0,0.7603504068047336,0.7563609467455622,0.0,0.7464999999999999,0
p300,2,version_34,0,stratified,480,45,120,0.7236501479289941,ok,0,0.727967825443787,0.7236501479289941,0.0,0.7155,0
p300,2,version_34,0,stratified,480,46,120,0.7517936390532545,ok,1,0.7619868713017751,0.7619868713017751,0.010193232248520645,0.64,12
p300,2,version_34,0,temporal_array,24,42,6,0.7402127554056734,ungateable,,,0.7402127554056734,0.0,,
