paradigm,subject,fold,calib_size,coverage_target,seed,status,n_pos,n_task_neg,n_base_neg,calib_pos_rate,calib_baseline_frac,n_eval,baseline_auc,adapted_auc,delta_auc
mi,99,version_29,100,0.25,42,ok,38,46,16,0.38,0.16,134,0.7640712945590994,0.7673545966228893,0.0032833020637899057
mi,99,version_29,100,0.25,43,ok,38,46,16,0.38,0.16,134,0.7591463414634146,0.7075515947467166,-0.05159474671669806
mi,99,version_29,100,0.25,44,ok,38,46,16,0.38,0.16,134,0.7915103189493433,0.7692307692307694,-0.022279549718573932
mi,99,version_29,100,0.25,45,ok,38,46,16,0.38,0.16,134,0.7947936210131332,0.7708724202626641,-0.023921200750469107
mi,99,version_29,100,0.25,46,ok,38,46,16,0.38,0.16,134,0.7875234521575984,0.7760318949343339,-0.011491557223264559
mi,99,version_29,100,0.5,42,ok,38,31,31,0.38,0.31,134,0.7310037523452158,0.7692307692307693,0.03822701688555352
mi,99,version_29,100,0.5,43,ok,38,31,31,0.38,0.31,134,0.7356941838649156,0.7371013133208255,0.0014071294559099279
mi,99,version_29,100,0.5,44,ok,38,31,31,0.38,0.31,134,0.7795497185741088,0.7565666041275797,-0.022983114446529118
mi,99,version_29,100,0.5,45,ok,38,31,31,0.38,0.31,134,0.7202157598499062,0.7385084427767356,0.018292682926829396
mi,99,version_29,100,0.5,46,ok,38,31,31,0.38,0.31,134,0.7577392120075047,0.6744840525328331,-0.08325515947467166
mi,99,version_29,100,0.75,42,ok,38,16,46,0.38,0.46,134,0.7253752345215759,0.7049718574108819,-0.020403377110694065
mi,99,version_29,100,0.75,43,ok,38,16,46,0.38,0.46,134,0.7478893058161351,0.6463414634146342,-0.10154784240150094
mi,99,version_29,100,0.75,44,ok,38,16,46,0.38,0.46,134,0.7378048780487805,0.6937148217636023,-0.04409005628517815
mi,99,version_29,100,0.75,45,ok,38,16,46,0.38,0.46,134,0.7823639774859287,0.6904315196998124,-0.09193245778611625
mi,99,version_29,100,0.75,46,ok,38,16,46,0.38,0.46,134,0.7406191369606003,0.7563320825515948,0.015712945590994454
mi,99,version_29,100,1.0,,unattainable,,,,,,,,,
mi,99,version_29,150,0.0,,unattainable,,,,,,,,,
mi,99,version_29,150,0.25,42,ok,58,69,23,0.38666666666666666,0.15333333333333332,84,0.8046875,0.8094951923076923,0.004807692307692291
mi,99,version_29,150,0.25,43,ok,58,69,23,0.38666666666666666,0.15333333333333332,84,0.8070913461538461,0.8245192307692308,0.017427884615384692
mi,99,version_29,150,0.25,44,ok,58,69,23,0.38666666666666666,0.15333333333333332,84,0.7325721153846154,0.7506009615384616,0.018028846153846145
mi,99,version_29,150,0.25,45,ok,58,69,23,0.38666666666666666,0.15333333333333332,84,0.7145432692307693,0.7397836538461539,0.02524038461538458
mi,99,version_29,150,0.25,46,ok,58,69,23,0.38666666666666666,0.15333333333333332,84,0.6712740384615384,0.6604567307692307,-0.01081730769230771
mi,99,version_29,150,0.5,42,ok,58,46,46,0.38666666666666666,0.30666666666666664,84,0.6598557692307693,0.6844951923076924,0.024639423076923128
mi,99,version_29,150,0.5,43,ok,58,46,46,0.38666666666666666,0.30666666666666664,84,0.735576923076923,0.7704326923076923,0.034855769230769273
mi,99,version_29,150,0.5,44,ok,58,46,46,0.38666666666666666,0.30666666666666664,84,0.775841346153846,0.7752403846153847,-0.000600961538461342
mi,99,version_29,150,0.5,45,ok,58,46,46,0.38666666666666666,0.30666666666666664,84,0.7283653846153847,0.7139423076923077,-0.014423076923076983
mi,99,version_29,150,0.5,46,ok,58,46,46,0.38666666666666666,0.30666666666666664,84,0.7397836538461539,0.7782451923076923,0.038461538461538436
mi,99,version_29,150,0.75,,unattainable,,,,,,,,,
mi,99,version_29,150,1.0,,unattainable,,,,,,,,,
mi,99,version_29,200,0.0,,unattainable,,,,,,,,,
mi,99,version_29,200,0.25,,unattainable,,,,,,,,,
mi,99,version_29,200,0.5,,unattainable,,,,,,,,,
mi,99,version_29,200,0.75,,unattainable,,,,,,,,,
mi,99,version_29,200,1.0,,unattainable,,,,,,,,,
mi,99,version_30,50,0.0,42,ok,19,31,0,0.38,0.0,184,0.7785117786364204,0.662968964227845,-0.11554281440857539
mi,99,version_30,50,0.0,43,ok,19,31,0,0.38,0.0,184,0.7737753957372554,0.5926710706718186,-0.18110432506543683
mi,99,version_30,50,0.0,44,ok,19,31,0,0.38,0.0,184,0.7695375794590552,0.7194316340521002,-0.05010594540695501
mi,99,version_30,50,0.0,45,ok,19,31,0,0.38,0.0,184,0.7867381278823383,0.6354231584195439,-0.15131496946279444
mi,99,version_30,50,0.0,46,ok,19,31,0,0.38,0.0,184,0.7585691137978313,0.6640907391250155,-0.09447837467281583
mi,99,version_30,50,0.25,42,ok,19,23,8,0.38,0.16,184,0.7719057709086377,0.6731895799576217,-0.09871619095101591
mi,99,version_30,50,0.25,43,ok,19,23,8,0.38,0.16,184,0.787236694503303,0.6490090988408326,-0.13822759566247045
mi,99,version_30,50,0.25,44,ok,19,23,8,0.38,0.16,184,0.7571980555901783,0.7308986663342889,-0.02629938925588937
mi,99,version_30,50,0.25,45,ok,19,23,8,0.38,0.16,184,0.786488844571856,0.6568615231210271,-0.1296273214508289
mi,99,version_30,50,0.25,46,ok,19,23,8,0.38,0.16,184,0.7493456313099839,0.704848560388882,-0.04449707092110189
mi,99,version_30,50,0.5,42,ok,19,15,16,0.38,0.32,184,0.7573226972454195,0.6634675308488097,-0.09385516639660973
mi,99,version_30,50,0.5,43,ok,19,15,16,0.38,0.32,184,0.7320204412314596,0.7013585940421289,-0.030661847189330738
mi,99,version_30,50,0.5,44,ok,19,15,16,0.38,0.32,184,0.7402467904773776,0.652000498566621,-0.08824629191075661
mi,99,version_30,50,0.5,45,ok,19,15,16,0.38,0.32,184,0.7503427645519133,0.7195562757073415,-0.030786488844571802
mi,99,version_30,50,0.5,46,ok,19,15,16,0.38,0.32,184,0.789230960987162,0.6177240433752961,-0.17150691761186587
