paradigm,subject,split,calib_size,seed,ea_ref,baseline_auc,adapted_auc,delta_auc,n_calib,n_eval,calib_pos_rate,eval_pos_rate,calib_baseline_frac,eval_baseline_frac,purge_k,n_purged,status,fold,fold_mode,checkpoint,checkpoint_val_auc,montage_source,n_channels,n_epochs_total,channels
als,1,temporal_chrono,240,42,session,0.5604527089072544,0.4872465564738292,-0.07320615243342521,240,3960,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_chrono,240,43,session,0.5604527089072544,0.48110835629017445,-0.07934435261707995,240,3960,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_chrono,240,44,session,0.5604527089072544,0.4851786042240588,-0.07527410468319562,240,3960,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_chrono,240,45,session,0.5604527089072544,0.48081427915518826,-0.07963842975206614,240,3960,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_chrono,240,46,session,0.5604527089072544,0.4830856290174472,-0.07736707988980718,240,3960,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_chrono,480,42,session,0.5584588969823101,0.513834547346514,-0.04462434963579609,480,3720,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_chrono,480,43,session,0.5584588969823101,0.5124242976066598,-0.046034599375650354,480,3720,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_chrono,480,44,session,0.5584588969823101,0.5124131113423517,-0.046045785639958425,480,3720,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_chrono,480,45,session,0.5584588969823101,0.5141659729448491,-0.04429292403746099,480,3720,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,temporal_chrono,480,46,session,0.5584588969823101,0.5124659209157129,-0.045992976066597246,480,3720,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,stratified,24,42,session,0.554239744351962,0.5439516861540494,-0.010288058197912564,24,4176,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,stratified,24,43,session,0.5568498976086669,0.48629648896815963,-0.07055340864050724,24,4176,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,stratified,24,44,session,0.5545782963403356,0.5391857411811336,-0.015392555159202015,24,4176,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,stratified,24,45,session,0.5572412967366891,0.4838403355793368,-0.07340096115735228,24,4176,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,stratified,24,46,session,0.5563965682388691,0.4810392307438235,-0.07535733749504558,24,4176,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,stratified,48,42,session,0.5543724314210298,0.5403851615489993,-0.013987269872030472,48,4152,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,stratified,48,43,session,0.5581801931237261,0.4621706789401584,-0.09600951418356773,48,4152,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,stratified,48,44,session,0.5542588292291757,0.5204128938487754,-0.03384593538040026,48,4152,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,stratified,48,45,session,0.558731497878312,0.4751269671556016,-0.0836045307227104,48,4152,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,stratified,48,46,session,0.5541786394466905,0.5361666360386248,-0.018012003408065747,48,4152,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,stratified,96,42,session,0.5538973530317021,0.5381600321466434,-0.015737320885058637,96,4104,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
als,1,stratified,96,43,session,0.5583290585137308,0.46675301802263947,-0.09157604049109136,96,4104,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,ok,version_31,average,lightning_logs/version_31/checkpoints/best-epoch=039-val/roc_auc=0.8513.ckpt,0.8513,inferred_from_config,8,4200,Fz|Cz|Pz|Oz|P3|P4|PO7|PO8
